screen_name	name	id	location	created_at	full_text
RSRLombardi	Tony Lombardi	823313526	Perry Hall, Maryland	2020-11-16 03:46:46	HUGE punt by Sam Koch to tilt the field in the #Ravens favor. 58 yards net plus the penalty flips the field 62 yards. Patriots start at the 4.
Ciroc_Obama	T.J. inDETweiler	23400540	UNT	2020-11-16 03:46:36	Feel like the powers add and move of mekhari to tackle has stabilized the Line #ravens
Floyd914	Floyd	43428768	Home of 9/11  NY state of mind	2020-11-16 03:46:30	#DamienHarris is beasting 7 per  carry 121 yds rushing #Patriots run game  getting in the #Ravens ass
JPRambles16	JPRambles	1310526840792993792		2020-11-16 03:46:22	Pats get the ball back with a 3-and-out of their own. 💪 New England with a penalty on punt to begin their next possession. 🏈 #Patriots #Ravens
Carp513	Carp	191816605		2020-11-16 03:46:09	Turns out both Harbaughs are weak. #Ravens #Michigan
seventhsonmedia	Scott Jones	977074279		2020-11-16 03:46:05	#ilovearainynight @SNFonNBC had me groovin for a few seconds, now I can't get the tune out of my head. #patriots #ravens
_TLMC_	Christian	834191784	Knoxville	2020-11-16 03:45:59	Edwards should be the only RB on the field rn #Ravens
richeisen	Rich Eisen	34701524	Culver City and El Segundo, CA	2020-11-16 03:45:53	If the #Ravens wind up taking the lead next possession, remember that punt in the swirling rain by @Sam_Koch4
Ryan_mynameis	Ryan.	753070103944658944		2020-11-16 03:45:33	Lamar Jackson the passer is well below average. Lamar Jackson the runner is phenomenal. If you can make him a one dimensional passer like the Patriots are doing tn, it’s tough for the Ravens to score #SNF #Patriots #Ravens
Printspixnremix	Shugga_Shugg	1330955659	Tennessee, USA	2020-11-16 03:45:03	#Ravens   TERRELL SUGGS #17 #NFL TOTALS 2018 PANINI-PLAYOFF FOOTBALL #Sportscards   https://t.co/lybGi9ct9D https://t.co/UrDuT5CZUh
BaltimoreLuke	Luke Jones	30110486	Baltimore	2020-11-16 03:45:00	#OldFriend Justin Bethel helps out the #Ravens with that penalty.
YMcTier	Yulander McTier	451583630		2020-11-16 03:44:49	@Patriots 4th quarter 23-17 we leading. Let's go Patriots!! @YMcTier #Patriots #SundayNightFootball #Ravens #NFL
sports_god1	WiseBeyondMyYears	380549829		2020-11-16 03:44:47	Defense need you to rise up again!! #Ravens
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:44:00	And i know Hollywood can’t get open ass ain’t complaining or was he open #RavensNation #ravensflock #ravens
snwann	SNL	70983920	Raleighwood, NC | DMV is my ❤	2020-11-16 03:43:32	Lots of fallen comrades... Nobody cares, work harder💜🖤 #RavensFlock #Ravens https://t.co/oJ5vq0y5Wm
DaRuffWay_	Chris	184018143		2020-11-16 03:43:09	Lamar think Snead is Calvin Johnson  #Ravens
sports_god1	WiseBeyondMyYears	380549829		2020-11-16 03:42:59	Lamar had tons of space.. need to run that #Ravens
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:42:08	Love mark but Gus is balling tonight. #RavensNation #ravensflock #ravens
ImKyleMangum	Kyle Mangum	2493458380	Maryland, USA	2020-11-16 03:41:57	The #Ravens need to stop giving it to Mark Ingram...
SSursom	ImARealist	1090417258512429057	Namek	2020-11-16 03:41:27	Every time The Ravens play a prime time game, they lose so many players to injuries 😔😔 ...#Lamar #Ravens #SundayNightFootball
WNST	WNST Baltimore Positive	17683439	Baltimore, MD USA	2020-11-16 03:41:08	Nestor: For all of the national media and sports fandom defecating upon Lamar Jackson for never leading a legit comeback, a win in this slop tonight in New England would shut 'em up, right? Opportunity abounds... #Ravens
Houston_TheReal	The Best Kept Secret	705688243	RAVENSTOWN Baltimore, MD	2020-11-16 03:40:55	Time for Lamar to go into X-Games Mode... #ActionJackson #Ravens
DaveGrauel	Dave Grauel	69437034	Annapolis, MD	2020-11-16 03:39:59	You wouldn’t like us when we’re mad - Ravens D #wink   #greatstand @Ravens defense #ravens #RavensFlock #ravensvspatriots
hathawaygeorge9	George Hathaway	1051150171772514304		2020-11-16 03:39:59	#Patriots first three and out on that drive and now the #Ravens have the ball looking to make this game more stressful.   #GoPats
BillSharph	Bill Sharp	1311030956627824642		2020-11-16 03:39:56	Let’s go #ravens ... beat the cheaters https://t.co/jp87HDyAfL
JPRambles16	JPRambles	1310526840792993792		2020-11-16 03:39:30	Good defensive start for the Ravens to begin 4Q. 💪 #RavensFlock #Ravens #NFL
Jared_Scali	Jared Scali	404280847	Boston MA	2020-11-16 03:39:09	Well crap. This feels like the #Ravens are on the way to taking the lead
BirdLandFanMD	Matt	60734374	Maryland, USA	2020-11-16 03:39:08	RUN. THE. BALL. #Ravens
MattBowen41	Matt Bowen	16435731	Chicago	2020-11-16 03:38:56	Looked like NE was playing Cover 3 on the Lamar TD pass.   Over route crosses the face of the post safety. Have to account for a possible seam to the front side of the formation, too.   Window there for Lamar to target Snead.   #Ravens #Patriots
Matt_LaPan	Matt LaPan	1202362496	Boston, MA	2020-11-16 03:38:46	Needed a drive there, go 3 &amp; out. #Ravens are starting to turn it up a bit. #Patriots need to match
StepnerWMAR	Shawn Stepner	153432766	Baltimore, MD	2020-11-16 03:38:46	Would be a nice time for some special teams. #Ravens
WNST	WNST Baltimore Positive	17683439	Baltimore, MD USA	2020-11-16 03:38:44	Luke: The #Ravens just got their first three-and-out of the night.
BmoreBatts	april	66653813	BMORE	2020-11-16 03:38:39	Defense stepped up on that 3 and out with injuries mounting. #Ravens
raf_nate	RAVENS 6-3	1306057114675302400	Virginia, USA	2020-11-16 03:38:38	Blocked punt otw #RAVENS
BaltimoreLuke	Luke Jones	30110486	Baltimore	2020-11-16 03:38:32	The #Ravens just got their first three-and-out of the night.
ConsultSharp	The Sharp Consultant	1164805454		2020-11-16 03:38:25	Great defensive scheme there by #Ravens to get that ball out of Cam's hand.
JakeGillMusic	Jake Gill	802853599		2020-11-16 03:38:23	The Horror!  #ravens,#football,#injury,#blownknee,#NickBoyle,#kneeinjury,#NBC,#Sundaynightfootball https://t.co/JAMLh6R7ov
BirdLandFanMD	Matt	60734374	Maryland, USA	2020-11-16 03:38:17	3 and out. Huge. #Ravens #MomentumSwing
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:38:12	We alwwayyyssss waiting until last minute to ball. BRING THIS SHIT ALL GOT DAMN GAME!!!! #RavensNation #ravensflock #ravens @Ravens
DaRuffWay_	Chris	184018143		2020-11-16 03:37:58	#Ravens defense finally inspired.
Houston_TheReal	The Best Kept Secret	705688243	RAVENSTOWN Baltimore, MD	2020-11-16 03:37:45	No quit in these guys right now. No matter the outcome, I'm proud AF. #Ravens
Steve_Richards1	Steve Richards	1069869798	Boston	2020-11-16 03:37:39	After 3 #Patriots 23-17 #Ravens
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:37:08	Is my defense waking up!!!! #RavensNation #ravensflock #ravens
TheMattWise	Matt Wise	2178995913	Maryland, USA	2020-11-16 03:37:05	The odds of the #Ravens winning this game are something less than 50/50.  But this is a one score game at the start of the 4th quarter in the NATIONAL FOOTBALL LEAGUE. https://t.co/Z7laE3rma5
IsaacHopkins14	Isaac #AssociateProducer	1005334440158121985	Alaska, USA	2020-11-16 03:36:49	#Ravens can still pull off this victory, as unlikely as it seems... #RavensFlock
sportsinjuryMD	Eric Friedman, MD	924321739257114625	United States	2020-11-16 03:36:34	Nick Boyle of the #Ravens unfortunately suffers a multiligament knee injury on this play ending his season @TheFantasyDRS @jeffzrebiec https://t.co/L75zry8qjI
lord_barrow	lex	60386217	Pennsylvania	2020-11-16 03:36:27	Nick Boyl💥e #ravens
astoicpoet	Chris	178582159		2020-11-16 03:36:22	That was a great blitz by Peters #Patriots #BALvsNE #Ravens
patriotsnews247	Justin Ramos	816447559283654656	United States	2020-11-16 03:36:08	Uh oh....  #Ravens have some momentum right now  Not what I want to see #GoPats
TomKessenich	Tom Kessenich	23357180	ÜT: 44.343136,-89.074908	2020-11-16 03:36:03	Lamar’s INT looming large too. #Ravens should only be down 3. https://t.co/7FkdUIV0hh
BrainsLink	Vin D'Amico	16278142	Boston, MA	2020-11-16 03:35:51	#Patriots are still ahead 23-17. Good game! The #Ravens are tough and 6 points aren't much.
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:35:45	We need a turnover #RavensNation #ravensflock #ravens
hadriaticomx	Hadriáticö	713628087460626433	Mar Caribe ⛵	2020-11-16 03:35:41	Now or never #Ravens 👿💜
ESPNWestPalm	ESPN WEST PALM (106.3 FM)	19990724	West Palm Beach, Florida	2020-11-16 03:35:40	Boynton Beach alum Lamar Jackson with TD pass #2 on the night. #Ravens trail the #Patriots 23-17 after 3 qtr of play. #SundayNightFootball https://t.co/Tu3KeMfI6j
chipwitz	Chip Woytowitz	329252516	Salisbury, MD	2020-11-16 03:35:39	Come on defense!! I need a play!! #ravens
kemu808	Kemu	407267845	Maryland - Home of The RAVENS	2020-11-16 03:35:25	In these conditions, you know a fumble is inevitable. Just hope it’s not .@Ravens. 🤞🏻  #BALvsNE #RavensFlock #Ravens #RavensNation #PlayLikeARaven #SNF #SundayNightFootball .@SNFonNBC
tincanman2010	tincanman	38911395	Powell River, British Columbia	2020-11-16 03:35:17	Riddle me this #Ravens fans: that's a really impressive O line. Big and beefy, mobile, and they love to hit. Someone's gotta ask if they're being used right. yw
WyllysInVA	Wyllys	50372926	Virginia	2020-11-16 03:35:08	I feel guilty and dirty rooting for the Patriots tonight.  But, f* the #ravens, go #steelers!!! #Undefeated
legalsportsbet	LegalSportsBetting	25641898	United States	2020-11-16 03:35:04	The total for touchdowns on the game was 4.5 touchdowns with the Over favored at -130. 5 total touchdowns have been scored at the end of the 3rd quarter. #Patriots #Ravens #GoPats #RavensFlock #SundayNightFootball #SNFonNBC
_AndrewCallahan	Andrew Callahan	2868106332	Boston, MA	2020-11-16 03:35:02	End 3rd Q: #Patriots 23, #Ravens 17  Looootta ballgame left.
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:35:01	Is that. Peter’s coming in like that!!!!!!!! #RavensNation #ravensflock #ravens https://t.co/ffj0i0CBgu
Syndicate410	Syndicate410	319847806	Baltimore	2020-11-16 03:34:56	@Ravens @Willie_Snead4G It might just be me but notice that Lamar plays the qb position better when he is frustrated...... #Ravens #RavensFlock
Houston_TheReal	The Best Kept Secret	705688243	RAVENSTOWN Baltimore, MD	2020-11-16 03:34:55	Peters with a TFL??? Good Stuff Bro!!! #Ravens
Jared_Biller	Jared Biller	122456858		2020-11-16 03:34:51	Huge defensive possession for the #ravens here. Need to get a stop to keep the momentum with the offense
Jared_Scali	Jared Scali	404280847	Boston MA	2020-11-16 03:34:21	I hate the #Ravens
TheGameDayNFL	The Game Day NFL	1285659098629971971		2020-11-16 03:34:19	Lamar Jackson finds Willie Snead again and the #Ravens chip away at the #Patriots lead in the 3rd  #BALvsNE #RavensFlock    https://t.co/e9bylxATqa
AaronKazreports	Aaron Kasinitz	582977282	Baltimore, MD	2020-11-16 03:34:15	A two-touchdown day for #Ravens wide receiver Willie Snead. Baltimore's still in the game, and Lamar Jackson looks capable of moving the ball as passer through this rain.
TimeoutSPORTS3	TimeoutSPORTS__	1170035155161010178		2020-11-16 03:34:15	After 3: #Patriots 23 - #Ravens 17  Who ya got?  #SNFonNBC #BALvsNE
thelastdon430	Don Talk	858114754564546561	RavensNation	2020-11-16 03:34:15	Ok. We are due our takeaway every game. Lets get it. #Ravens
SteveLevy17	Steve Levy	1613013288	Baltimore, MD	2020-11-16 03:33:49	#Ravens gonna need to go to their ultimate strength to have a shot. Must create a turnover.
WNST	WNST Baltimore Positive	17683439	Baltimore, MD USA	2020-11-16 03:33:40	Luke: Lamar Jackson to Willie Snead for the touchdown. It's a one-score game despite multiple injuries and countless calls on Twitter for players to be cut/benched and coaches fired. The theater that is the NFL. #Ravens
TonyPannWBAL	Tony Pann	21658595	Baltimore, MD	2020-11-16 03:33:39	Watching the Ravens game on WBAL TV? The rain will likely stick around through the 4th quarter!  #Ravens #WBAL https://t.co/Q18D5u9Zcx
SamNjokuSports	Samuel Njoku	173830438	Baltimore, MD	2020-11-16 03:33:36	I give the #Ravens receivers a hard time (deservedly so) but Willie Snead has looked great the last few weeks
DaveyGandthe	Davey G and the...	24092850	Baltimore, Maryland	2020-11-16 03:33:30	Here's how it is: we need to win games when we have to come from behind. We  do that, I become a believer. Your move, @Ravens .  #Ravens #Ravensflock https://t.co/eFQa5ZfZ2A
BaltimoreLuke	Luke Jones	30110486	Baltimore	2020-11-16 03:33:29	Lamar Jackson to Willie Snead for the touchdown. It's a one-score game despite multiple injuries and countless calls on Twitter for players to be cut/benched and coaches fired. The theater that is the NFL. #Ravens
sports_god1	WiseBeyondMyYears	380549829		2020-11-16 03:33:29	@jeffzrebiec Defense needs to stand up!! #Ravens
JPRambles16	JPRambles	1310526840792993792		2020-11-16 03:33:26	@Lj_era8 to @Willie_Snead4G for the TD!!! 🔥♥️🏈 @Ravens are back within striking distance. #RavensFlock #Ravens https://t.co/jzZeHodAR4
GoatHouseNFL	The GOAT House	1134792055		2020-11-16 03:33:25	#Ravens cut it down to a 6 point game. Thought it was going to get ugly for a second there.
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:33:20	Now come on defense #RavensNation #ravensflock #ravens
MthrFinPrincess	Amber	23964065	Baltimore, MD	2020-11-16 03:33:11	Me, watching this game #RavensFlock #Ravens https://t.co/pENoPZRsm2
P1LifeSFF	MoSonny Stan	132296384	Tennessee	2020-11-16 03:33:04	Willie Snead wrapped his entire body around the ball to hang on to it. That was kinda cool. #ravens #patriots #snf
DerekRosselet22	Derek Rosselet	1301632338535702528	Washington, USA	2020-11-16 03:33:04	#Ravens have already ruled out TE Nick Boyle after getting carted off with a scary knee injury.
WCVB	WCVB-TV Boston	21419504	Boston, MA	2020-11-16 03:33:01	That drive felt way to easy for the #Ravens, and is bound to raise questions about the #Patriots D again.  One possession game going into the 4th. #BALvsNE #GoPats https://t.co/Kr9rvR2ul3
storm_chaser82	Nate Woodard	46298904	Minneapolis, MN	2020-11-16 03:33:00	This #patriots #ravens game is gonna get suspended shortly. Very severe line of storms heading right for the stadium #SundayNightFootball #SNF
DraftAmerica	Michael Seff	48471431		2020-11-16 03:32:59	#Ravens should’ve gone for two. More teams should think ahead when they’re down 13 - go down by 5 so a field goal keeps it a one-score game. #Patriots
RSRLombardi	Tony Lombardi	823313526	Perry Hall, Maryland	2020-11-16 03:32:59	Really gutty and necessary drive from the #Ravens in awful conditions after losing a team favorite in Nick Boyle. Big props all around!
clippersncrows	ClippersnTruzz | Ya tu sabes	35983565	Baltimore, MD (nowhere else)	2020-11-16 03:32:58	PAT TUCKED IN!!!! #rAVENS
DevclemNFL	Devon Clements	2475971873	Portland, ME	2020-11-16 03:32:56	Willie Snead catches the 18 yard pass from Lamar Jackson for the touchdown. PAT is good.   #Patriots 23 #Ravens 17  8 seconds left in the 3rd quarter
BirdLandFanMD	Matt	60734374	Maryland, USA	2020-11-16 03:32:54	One hell of a great throw by LJ8 as well. #Ravens
StepnerWMAR	Shawn Stepner	153432766	Baltimore, MD	2020-11-16 03:32:48	Okay now. Snead with No. 2.  Let's see if the banged up defense can hold. #Ravens
BmoreBeatdown	Baltimore Beatdown	21424966	Baltimore	2020-11-16 03:32:46	Willie Snead! Second touchdown tonight!  11 plays, 75 yards and the Ravens aren't dead yet.  #Ravens: 17 #Patriots: 23
SportsToonsPlus	Cartoonist Harris	2802976670	Poconos, PA	2020-11-16 03:32:45	Now that was a nice drive for Lamar Jackson and the #Ravens #nfl #snf
AustinBumpus	Austin Bumpus	334999774	Boston	2020-11-16 03:32:42	That previous play wouldn’t have been a fumble even if it was able to be challenged. No #Chiefs game V2 there, and it leads to an 18-yard #Ravens touchdown.  We’ve got ourselves a game, and the #Patriots lead is down to six points with eight seconds left in the third quarter.
alexmoseman	alexmoseman	15096895	NYC	2020-11-16 03:32:37	Let's fucking go defense #Ravens #RavensFlock
EMILaYinbed	Emily Luzetsky	2936235742	Maryland	2020-11-16 03:32:36	Alright boys come on we can do this #Ravens
BaseballFan207	Congrats, Biden and Harris!	97033974		2020-11-16 03:32:34	ok -- #Ravens showing some life now only down by 8
kemu808	Kemu	407267845	Maryland - Home of The RAVENS	2020-11-16 03:32:30	.@Willie_Snead4G 𝐓 𝐎 𝐔 𝐂 𝐇 𝐃 𝐎𝐖 𝐍 ! ! ! ! ! ! !  #BALvsNE .@Ravens #RavensFlock #Ravens #RavensNation #PlayLikeARaven #SNF #SundayNightFootball .@SNFonNBC https://t.co/aO8GFTaKZi
Chezsports	Steven Sanchez	803229174	Taunton, Ma	2020-11-16 03:32:29	Jackson to Snead IV for his 2nd TD pass of the game #Ravens trail 23-17 @Patriots #NEvsBAL #SundayNightFootball #NEvsBAL #SundayNightFootball
RaulNBCBoston	Raul Martinez	305365893	Boston, MA	2020-11-16 03:32:23	What a response by the #Ravens. Big conversions on 3rd and 4th down and Jackson finds a wide open Snead. It's a 6 point game. That missed extra point by Folk is looming.
Houston_TheReal	The Best Kept Secret	705688243	RAVENSTOWN Baltimore, MD	2020-11-16 03:32:21	Now more than ever we must rally around Lamar and get this W!! @Willie_Snead4G with the crucial TD!!! #Ravens https://t.co/snucVJ0d7l
JPRambles16	JPRambles	1310526840792993792		2020-11-16 03:32:15	@nickboyle86 done for the game. 😢 #Ravens
WNST	WNST Baltimore Positive	17683439	Baltimore, MD USA	2020-11-16 03:32:09	Nestor: #Ravens aren't done yet. That TD drive even more impressive in this slop...
High_Tider	High_Tider	578628591	The South	2020-11-16 03:32:04	Guess I just need to talk some 💩 about them. #Ravens TD.
AmarBasi24	AMAR	325028023	Montréal, Québec	2020-11-16 03:31:59	Love bad weather games. #SNF #Pats #Ravens
hanginwitcoop	Lemme take a gander!	126096796	DMV	2020-11-16 03:31:55	One stop and one touchdown. That’s it. #ravens
DaveyGandthe	Davey G and the...	24092850	Baltimore, Maryland	2020-11-16 03:31:54	Snead!!! Back in it, baby! #Ravensflock #Ravens
SteelerStandard	Steelers Standard 🦃	1194782184927834112		2020-11-16 03:31:54	Prayers for a speedy recovery. 🙏 #Ravens #NFL https://t.co/ow4QVhcKqx
KeenaMcGee	LaKeena McGee	632128647	Chicago, IL	2020-11-16 03:31:49	#Ravens needed that!! #BALvsNE
ravens_central	Ravens Central	1076484713634820096	M&T Bank Stadium	2020-11-16 03:31:47	Somehow, the #Ravens are still in this game.   I’m not complaining.
DaRuffWay_	Chris	184018143		2020-11-16 03:31:46	Snead having a good game.  #SNFonNBC #Ravens
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:31:43	Noe let’s go defense!!! #RavensNation #ravensflock #ravens
ParcellsShill	ShillParcells	1168541095803928576		2020-11-16 03:31:33	A #Ravens offensive drive is akin to watching paint dry.
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:31:19	Thank you!!! #RavensNation #ravensflock #ravens
DArkMEATHOOK	🌯 X9 ❌❌❌🌯X2	15130494	DC Area	2020-11-16 03:30:36	Maybe they should take some snaps under center? #Ravens
JPRambles16	JPRambles	1310526840792993792		2020-11-16 03:30:26	@Ravens praying 📿 that Boyle's injury is not serious. 😢♥️ #Ravens https://t.co/aExBAjHIpy
geofffox	Geoff Fox	8291102	Irvine, CA	2020-11-16 03:30:14	Not exactly your perfect night for #football.  #Patriots #Ravens #NFL #radar https://t.co/CXkkW9dul3
ABeltran1993	Arby	1082287252234035200		2020-11-16 03:29:52	I'm blowned away by how the #Patriots are playing well against the #Ravens so far
CheyenneTweets	Cha Skillz	29312627	New York, New York	2020-11-16 03:29:41	That rain hittin different 😩#patriots #ravens
SOHbarrett	Scott Barrett	2370649074		2020-11-16 03:29:38	This #Ravens center on shotgun snaps. #Gopats #BALvsNE https://t.co/N0ZFuRhD7w
tristanps96	tris	810101238	Phoenix, AZ	2020-11-16 03:29:35	#ravens sucking tonight
BirdLandFanMD	Matt	60734374	Maryland, USA	2020-11-16 03:29:32	What was the verdict on Marlon Humphrey? #Ravens
JetsMets1448	Metscast aka Kramer	105193666	Las Vegas, NV	2020-11-16 03:29:27	If the weather is bad why would you still shotgun snap? #Ravens #Patriots
DemetriusWalls	Demetrius Walls	191608422	The Bay California	2020-11-16 03:29:23	Dear #Ravens &amp; #RavensFlock CAN YOU PLEASE get #MarkAndrews some touches? I want to win my #Yahoo #FantasyFootball game. Thanks #Patriots let him score https://t.co/FeS3WrWvXY https://t.co/GvfyryLi25
Andrew_Gillis70	Andrew Gillis	376498488	Baltimore, MD	2020-11-16 03:29:15	I feel like it's become public knowledge at this point, but you really can't overstate how important Nick Boyle is to this #Ravens offense. Just a massive loss for the offense.   They're going to need a tight end for next Sunday.
bdberto12	alberto de jesus	80478126	Holyoke, Ma	2020-11-16 03:29:15	Omg gruesome injury to Boyle. Watching this live i just jumped out of my chair. Hate to see this happen period #nfl #sundaynightfootball @barstoolsports @espn #patriots #ravens https://t.co/tPAfYfIyEc
sports_god1	WiseBeyondMyYears	380549829		2020-11-16 03:29:08	Lets go.... #Ravens
BADGIRLMEL3	BADGIRL MELISSA	1641408000	Tampa, FL	2020-11-16 03:28:46	I'm #Patriots fan and #ravens are our hated rival but my thoughts and well wishes for #nickboyle   #BALvsNE
MacEngelProf	Mac Engel	107762720	Depends who’s asking	2020-11-16 03:28:27	Weather for #Ravens at #Patriots pretty much the same for last year’s #Cowboys 13-9 loss in New England. It was colder for that scorefest.
ADesai410	Aalap Desai	339455570	Chicago, Illinois	2020-11-16 03:28:25	I enjoy monsoon football. #Ravens #Patriots #SNFonNBC
patriotsnews247	Justin Ramos	816447559283654656	United States	2020-11-16 03:28:20	This game is far from over....  #Ravens are knocking at the door
Rasta1619	Robin Stanley	134245108	Illinois, USA	2020-11-16 03:28:03	What misery to be out in those conditions and try to play a meaningful game.  #Ravens #Patriots #SNF 🏈
JPRambles16	JPRambles	1310526840792993792		2020-11-16 03:28:01	@nickboyle86 probably done for the night 🌃 🤕😧 @Ravens holding their breath. #Ravens #NickBoyle 🙏📿
DaveGrauel	Dave Grauel	69437034	Annapolis, MD	2020-11-16 03:27:53	So probably not the wildcat here. #ravens
AdenChiz	👓Aden™	25117790		2020-11-16 03:27:48	I expect the #Ravens to be in contact with Luke Wilson's agent this week.
NYCKING	BIG ED	19257498	NYC	2020-11-16 03:27:46	#BALvsNE this time it works on 4th down for #Ravens
Ebony_Bird	Ebony Bird	295908721	Baltimore	2020-11-16 03:27:43	HUGE fourth down conversion from Gus Bus #Ravens
MrIkeCarter	Ike Carter, ChFC®	32487477	Baltimore	2020-11-16 03:27:42	Please. Keep. Giving. Gus. Some. BURN!!! #RavensNation #ravensflock #ravens
tgain83	Warren for Treasury Secretary 🗽🩸🦷	28277985	Louisville, KY	2020-11-16 03:27:33	Shout out to the woman officiating tonight’s game. #SNF #Ravens #Patriots
G_Miller55	Gage Miller	2238468282		2020-11-16 03:27:00	Any other team have an illegal formation call ? Any ? Just us ? Ok thought so. #Ravensflock #ravens @ravens
EssentialGents	The Essential Gentlemen Gaming	1267186032241283072		2020-11-16 03:26:48	The Gents are back to some regularly scheduled programming starting tonight after SNF! Tune in after the game for some #warzone in #Verdansk! High kills, high wins, no mercy! #snf #patriots #ravens. Tune in after the game! https://t.co/LsJiYiNspz #cod #nfl #twitch
mazzarellastix	Dana Mazzarella	251880530		2020-11-16 03:26:31	The #Ravens are very quickly becoming the most injured team in the nfl
CharmCityOs9482	Shawn Ambrose	1216400891575775239	Baltimore Maryland	2020-11-16 03:26:25	@AnGdmedizzle Yup it called the Madden cover curse it hasn't hit the actual "cover boy" @Lj_era8 yet just everyone around him #RavensFlock #Madden21 #Ravens
PTBeanTown	PrimeTime Beantown Sports	1264930870567276545	Boston, MA	2020-11-16 03:26:22	Hope Nick Boyle is all right. Ravens rely a lot on TEs and this is definitely a huge blow for them. #Ravens
BigD_TVF	Big D	21935538	Boston MA	2020-11-16 03:26:15	I live about 10 miles due south of Gillette Stadium, as the crow flies.  Can confirm that the wind is absolutely whipping; maybe the stadium walls are knocking it down on the field.  #SNF @SNFonNBC #Patriots #Ravens
JMackey1981	Josh Mackey	31236176	Owensboro, KY	2020-11-16 03:26:06	This looks like one of the most miserable environments to play football in that I can recall lately. #PatriotsNation #ravens #SNFonNBC #SNF @SNFonNBC
LateRoundCorner	ᴍɪᴄʜᴀᴇʟ ᴛᴇʟꜰᴏʀᴅ 🇮🇪	897829904473100288	United States	2020-11-16 03:26:06	Welcome to 2020, where Willie Snead is the most consistent player on the #Ravens offense.
IvanCast28	Ivan C	574083441	Valley	2020-11-16 03:26:04	Bro that Nick Boyle hit was brutal!!! Smh Prayers up for him 🙏🙏🙏 #SNF #Boyle #Ravens
kemu808	Kemu	407267845	Maryland - Home of The RAVENS	2020-11-16 03:25:54	Seems .@Ravens are flagged for illegal formation at least once a game, usually more. NEEDLESS!   #BALvsNE #RavensFlock #Ravens #RavensNation #PlayLikeARaven #SNF #SundayNightFootball .@SNFonNBC
Houston_TheReal	The Best Kept Secret	705688243	RAVENSTOWN Baltimore, MD	2020-11-16 03:25:50	Man, our team is the most undisciplined team I've seen in a while. Gotta put that on Harbaugh. #Ravens
Andrew_Gillis70	Andrew Gillis	376498488	Baltimore, MD	2020-11-16 03:25:47	#Ravens injuries tonight:  DL Brandon Williams (out) CB Terrell Bonds (doubtful) TE Nick Boyle (assuredly out)  Added into the previous injuries of: DL Calais Campbell CB Jimmy Smith ILB LJ Fort LT Ronnie Stanley
tommy_baltimore	BaltimoreTommy	1326700534158528516		2020-11-16 03:25:44	Who gets hurt next? #5onit #Ravens
tec8908	🇺🇸 Tad Edward 🇺🇸	3214524485	Kansas City, MO	2020-11-16 03:25:35	That’s rough, it seems like we have seen more gruesome injuries this year than any in recent memory #patriots #ravens #SNF https://t.co/yOSMfFNJhF
hathawaygeorge9	George Hathaway	1051150171772514304		2020-11-16 03:25:35	#Ravens have officially fallen part.   #GoPats
MikeDreher92	Michael Dreher	961255160344465409		2020-11-16 03:25:34	#ravens are the most overrated team in the #NFL #SNFonNBC
bsmolka	Bo Smolka	36724078	Baltimore, MD	2020-11-16 03:25:25	Ever since this so-called "revolutionary" offense has been unveiled by the #Ravens, Nick Boyle has been a huge part of it.   Major loss for what the Ravens want to do offensively
pjwoods_334	phillip woods	292781145		2020-11-16 03:25:25	We clearly are a extremely soft team in the rain... #ravens
DeJayStarr	D.J. ⭐	1615763742	(South) Florida, USA	2020-11-16 03:25:15	My man’s leg looks like an “S”.   #Baltimore  #ravens #balvsne #nevsbal #nfl https://t.co/rC1X5YKG5s
jmusk212	Josh Muskin	204611637		2020-11-16 03:25:13	HOW HARD IS IT TO LINE UP CORRECTLY? #ragetweet #Ravens
CROSS4BETTERUSA	BRANDON CROSS	1244719204638560258		2020-11-16 03:25:05	Now all we need is for the #Patriots to beat the #Ravens and to win next week and we are guaranteed a playoff spot. #GoSteelers #HereWeGo #Steelers https://t.co/DSiCAlumT0
kemu808	Kemu	407267845	Maryland - Home of The RAVENS	2020-11-16 03:24:49	Prayers up for .@nickboyle86! 🙏🏻  .@Ravens #BALvsNE #RavensFlock #Ravens #RavensNation #PlayLikeARaven #SNF #SundayNightFootball .@SNFonNBC
UniqueMazique	Brian Mazique	306676025	Chicago, IL	2020-11-16 03:24:48	just one of those games for the #Ravens
BigD_TVF	Big D	21935538	Boston MA	2020-11-16 03:24:48	So, that'll be the season for Nick Boyle. Maybe more.  #Ravens #Patriots #SNF
Minionhunter	minionhunter	80335177		2020-11-16 03:24:46	@RosterWatch The #johnsingersargent Maddencurse just hit the entire #Ravens team.
